ProductId,AsOfDate,Value
EUCF509 Curncy,31/12/2019,6989.796025329
EUCF705 Curncy,31/12/2019,5637.0064683
EUSA20 ISCF Index,31/12/2019,0.0000368150
G0177Z 6Y BLC2 Curncy,31/12/2019,0.000379716
EUSN3020 Curncy,31/12/2019,0.0283249268
G0020Z 7Y BLC2 Curncy,31/12/2019,0.0000063755
Corp2037_BBB Govt,31/12/2019,1.2853891197
EUSN107 Curncy,31/12/2019,0.6135589286
EUSN042 Curncy,31/12/2019,0.0641356683
EUSN076 Curncy,31/12/2019,0.5384624360
Gov2033 Govt,31/12/2019,1.4901492668
EUCF9010 Curncy,31/12/2019,4746.521025873
Corp2031_BBB Govt,31/12/2019,1.0970677257
EUSN019 Curncy,31/12/2019,0.2059798613
G0020Z 4Y BLC2 Curncy,31/12/2019,0.0000233264
EUCF1712 Curncy,31/12/2019,13344.8704858
G0020Z 3Y BLC2 Curncy,31/12/2019,0.0000326723
EUSN0A10 Curncy,31/12/2019,0.1945251269
EUCF1710 Curncy,31/12/2019,13349.4916817
Corp2022_BBB Govt,31/12/2019,1.0861859434
EUSWE8 Curncy,31/12/2019,0.0000011180
EUCF105 Curncy,31/12/2019,1.850144995
EUSN0C9 Curncy,31/12/2019,0.133152548
EUSN158 Curncy,31/12/2019,0.3735043357
EUCF508 Curncy,31/12/2019,6993.9769585
Corp2027_A Govt,31/12/2019,1.1191736454
EUSN0310 Curncy,31/12/2019,0.4692935645
EUSA15 Curncy,31/12/2019,0.0000207619
EUCF253 Curncy,31/12/2019,10549.3441369
EUSN0F2 Curncy,31/12/2019,0.0005978515
EUSN074 Curncy,31/12/2019,0.4273891476
EUCF203 Curncy,31/12/2019,1.2059334299
EUCF259 Curncy,31/12/2019,10778.5924644
EUSN1510 Curncy,31/12/2019,0.3502272586
EUSN0A30 Curncy,31/12/2019,0.9056377978
G0177Z 4Y BLC2 Curncy,31/12/2019,0.000295181
EUCF207 Curncy,31/12/2019,12340.9881194
Corp2030_AA Govt,31/12/2019,1.1881354
EUSN1020 Curncy,31/12/2019,0.4325035764
EUSA12 ISCF Index,31/12/2019,0.000011967
G0177Z 9Y BLC2 Curncy,31/12/2019,0.0004425932
EUSN103 Curncy,31/12/2019,0.5600277267
EUSN305 Curncy,31/12/2019,0.0656384496
EUSN2530 Curncy,31/12/2019,0.0373262862
Gov2025 Govt,31/12/2019,1.2473024469
EUCF254 Curncy,31/12/2019,10681.2225723
EUSN079 Curncy,31/12/2019,0.6368838243
EUSWE2 Curncy,31/12/2019,0.0000186197
EUSN023 Curncy,31/12/2019,0.0040513200
EUCF357 Curncy,31/12/2019,8768.4496651
EUSA6 ISCF Index,31/12/2019,0.0000002998
EUSN057 Curncy,31/12/2019,0.4383102720
EUSN302 Curncy,31/12/2019,0.0655616413
EUSN058 Curncy,31/12/2019,0.504029703
EUSN2525 Curncy,31/12/2019,0.0401602607
G0016Z 7Y BLC2 Curncy,31/12/2019,0.0000137576
Gov2024 Govt,31/12/2019,1.2230416592
EUCF1012 Curncy,31/12/2019,18471.5281610
Corp2036_A Govt,31/12/2019,1.223236959
EUSN043 Curncy,31/12/2019,0.1063738449
EUCF701 Curncy,31/12/2019,5719.140625533
EUSN0F8 Curncy,31/12/2019,0.0875568480
EUSW15V3  Curncy,31/12/2019,0.0000161851
EUCF1755 Curncy,31/12/2019,13373.76603611
EUSA9 ISCF Index,31/12/2019,0.0000023221
G0040Z 8Y BLC2 Curncy,31/12/2019,0.0001355933
EUSA45 Curncy,31/12/2019,0.0000314334
EUSN0420 Curncy,31/12/2019,0.7363356736
EUSN3025 Curncy,31/12/2019,0.0266342833
EUCF2253 Curncy,31/12/2019,11240.2404491
EUCF505 Curncy,31/12/2019,0.7009876894
EUSN022 Curncy,31/12/2019,0.0003901831
G0016Z 10Y BLC2 Curncy,31/12/2019,0.0000028283
Gov2036 Govt,31/12/2019,1.2050185518
EUSN027 Curncy,31/12/2019,0.1605605450
EUSW6V3  Curncy,31/12/2019,0.0000019691
Gov2034 Govt,31/12/2019,1.6973204531
EUCF2220 Curncy,31/12/2019,11473.62323651
EUCF606 Curncy,31/12/2019,6226.7881542
EUSN308 Curncy,31/12/2019,0.0429318689
Gov2049 Govt,31/12/2019,1.5648503371
EUCF2012 Curncy,31/12/2019,12323.2201211
EUSN0A8 Curncy,31/12/2019,0.0550841814
EUSW20V3  Curncy,31/12/2019,0.0000295714
G0061Z 15Y BLC2 Curncy,31/12/2019,0.0000768347
EUSN3015 Curncy,31/12/2019,0.0312406659
Gov2037 Govt,31/12/2019,2.0079205801
EUCF306 Curncy,31/12/2019,9653.0625776
EUSN077 Curncy,31/12/2019,0.5817113819
EUSN055 Curncy,31/12/2019,0.3138801664
EUSWEC Curncy,31/12/2019,0.0000197162
EUSWEI Curncy,31/12/2019,0.0000198819
EUCF507 Curncy,31/12/2019,6998.159025929
EUSN157 Curncy,31/12/2019,0.3905625731
EUSN1530 Curncy,31/12/2019,0.1488031227
EUSWE1Z Curncy,31/12/2019,0.0000199473
EUCF406 Curncy,31/12/2019,8069.4289653
G0040Z 9Y BLC2 Curncy,31/12/2019,0.0001668634
G0016Z 30Y BLC2 Curncy,31/12/2019,0.000011616
G0020Z 1Y BLC2 Curncy,31/12/2019,0.0000402842
G0016Z 8Y BLC2 Curncy,31/12/2019,0.0000097788
EUCF2252 Curncy,31/12/2019,13748.73503207
EUSRA10Y Index,31/12/2019,0.0000099766
EUCF2210 Curncy,31/12/2019,11485.4089738
Corp2029_BBB Govt,31/12/2019,1.1149118513
EUSN109 Curncy,31/12/2019,0.6185036559
EUCF501 Curncy,31/12/2019,0.7230951701
EUSN013 Curncy,31/12/2019,0.000513528
EUSW4V3  Curncy,31/12/2019,0.0000063492
EUCF4012 Curncy,31/12/2019,8047.8841177
EUCF605 Curncy,31/12/2019,6233.892025522
EUSA11 Curncy,31/12/2019,0.0000065308
G0020Z 10Y BLC2 Curncy,31/12/2019,0.0000001824
EUCF256 Curncy,31/12/2019,10793.1321482
G0177Z 20Y BLC2 Curncy,31/12/2019,0.0004464141
EUCF6015 Curncy,31/12/2019,6199.9876683
EUSN2510 Curncy,31/12/2019,0.0732244341
Gov2028 Govt,31/12/2019,1.3774445133
EUCF205 Curncy,31/12/2019,1.2353211177
EUCF6010 Curncy,31/12/2019,6209.44822
Corp2023_BBB Govt,31/12/2019,1.0888202841
Gov2038 Govt,31/12/2019,1.7523582920
G0016Z 4Y BLC2 Curncy,31/12/2019,0.0000284505
EUCF2255 Curncy,31/12/2019,11510.07123595
EUCF609 Curncy,31/12/2019,6213.380625856
Corp2023_AA Govt,31/12/2019,1.0643017984
EUSN309 Curncy,31/12/2019,0.0392238548
EUSN253 Curncy,31/12/2019,0.0679906326
EUCF3012 Curncy,31/12/2019,9630.478225882
EUCV20 Curncy,31/12/2019,24147.60603315
Corp2025_A Govt,31/12/2019,1.0928574902
EUSN015 Curncy,31/12/2019,0.0052926919
EUSN151 Curncy,31/12/2019,0.4271276734
EUSN033 Curncy,31/12/2019,0.0395214506
EUSN202 Curncy,31/12/2019,0.197847488
EUSN3010 Curncy,31/12/2019,0.0363856954
EUSA40 Curncy,31/12/2019,0.0000331672
EUSN017 Curncy,31/12/2019,0.0700926211
G0020Z 30Y BLC2 Curncy,31/12/2019,0.0000168135
EUSN251 Curncy,31/12/2019,0.0923552234
EUCF258 Curncy,31/12/2019,10781.70723814
EUCF405 Curncy,31/12/2019,0.8077516968
EUSWED Curncy,31/12/2019,0.0000197265
EUSN0F9 Curncy,31/12/2019,0.1572916379
EUCF303 Curncy,31/12/2019,0.9441037547
EUSN078 Curncy,31/12/2019,0.6149696838
EUSN0A7 Curncy,31/12/2019,0.0184824247
EUSWE20 Curncy,31/12/2019,0.0000195603
G0020Z 20Y BLC2 Curncy,31/12/2019,0.0000096152
EUCF901 Curncy,31/12/2019,4797.640225206
G0061Z 7Y BLC2 Curncy,31/12/2019,0.0000035703
EUSN0F7 Curncy,31/12/2019,0.0385337126
EUSWE15 Curncy,31/12/2019,0.0000089923
﻿Corp2021_A Govt,31/12/2019,1.0444233350
G0014Z 5Y BLC2 Curncy,31/12/2019,0.0000115772
Gov2039 Govt,31/12/2019,2.2092859620
EUSA25 Curncy,31/12/2019,0.0000391171
EUSWE1F Curncy,31/12/2019,0.0000196654
EUCF4010 Curncy,31/12/2019,8052.370225324
G0014Z 30Y BLC2 Curncy,31/12/2019,0.0000979282
EUCF2515 Curncy,31/12/2019,10765.10003647
EUSWE25 Curncy,31/12/2019,0.0000237744
EUSN0215 Curncy,31/12/2019,0.6795529349
EUCF2015 Curncy,31/12/2019,12318.7801315
EUCF9015 Curncy,31/12/2019,4737.5689913
Corp2035_A Govt,31/12/2019,1.1748392937
G0014Z 2Y BLC2 Curncy,31/12/2019,0.0000369136
EUSN032 Curncy,31/12/2019,0.0158382529
EUSN154 Curncy,31/12/2019,0.447026239
EUSN1525 Curncy,31/12/2019,0.1751423957
EUSW7V3  Curncy,31/12/2019,0.0000005272
G0040Z 30Y BLC2 Curncy,31/12/2019,0.0007177370
EK684730 Corp,31/12/2019,1.1294637593
EUSN0F10 Curncy,31/12/2019,0.232951574
EI879238 Corp,31/12/2019,1.1524993613
EUCF908 Curncy,31/12/2019,4753.413025143
EUCF801 Curncy,31/12/2019,5209.9524249
EUSW5V3  Curncy,31/12/2019,0.0000042149
Corp2034_A Govt,31/12/2019,1.0398697999
Corp2038_A Govt,31/12/2019,1.3807033417
Corp2024_BBB Govt,31/12/2019,1.1038198710
EUSA10 Curncy,31/12/2019,0.0000045674
EUSN054 Curncy,31/12/2019,0.2468102121
EUCF1759 Curncy,31/12/2019,13352.95803739
G0177Z 2Y BLC2 Curncy,31/12/2019,0.0002233690
EUCF302 Curncy,31/12/2019,1.092234511
EUSN045 Curncy,31/12/2019,0.2193986316
EUCF358 Curncy,31/12/2019,8763.768225724
EUSN052 Curncy,31/12/2019,0.132496933
EUSA6 Curncy,31/12/2019,0.0000004669
EUSN0325 Curncy,31/12/2019,0.7285476948
Corp2030_BBB Govt,31/12/2019,1.1367739233
EUSN152 Curncy,31/12/2019,0.447561917
EUFR0J1D Curncy,31/12/2019,0.0000087882
EUCF504 Curncy,31/12/2019,0.6946389998
EUCF201 Curncy,31/12/2019,1.4100375913
G0016Z 6Y BLC2 Curncy,31/12/2019,0.0000178479
EUSW8V3  Curncy,31/12/2019,0.0000002244
EUSN044 Curncy,31/12/2019,0.160801420
EUSN0510 Curncy,31/12/2019,0.5982249367
EUCF402 Curncy,31/12/2019,0.8780627685
G0061Z 2Y BLC2 Curncy,31/12/2019,0.0000154800
G0177Z 30Y BLC2 Curncy,31/12/2019,0.0004475230
EUSA2 Curncy,31/12/2019,0.0000085917
EUSN0A20 Curncy,31/12/2019,0.874412492
EUSN0530 Curncy,31/12/2019,0.5686668698
EUSN0F1 Curncy,31/12/2019,0.0005978771
EUSN0F4 Curncy,31/12/2019,0.0005978757
EUSN0A2 Curncy,31/12/2019,0.0006943141
EUCF6020 Curncy,31/12/2019,6198.4129182
EUCF709 Curncy,31/12/2019,5616.0036474
EUCF1754 Curncy,31/12/2019,13220.4004483
EUCV12 Curncy,31/12/2019,32804.4544732
EUCF304 Curncy,31/12/2019,0.9557995673
EC051851 Corp,31/12/2019,2.1168795212
EUSA4 Curncy,31/12/2019,0.0000034591
EUSN259 Curncy,31/12/2019,0.0726572567
EUFR0DJ Curncy,31/12/2019,0.00001891
EUCF3015 Curncy,31/12/2019,9625.5721537
EUSN257 Curncy,31/12/2019,0.070969121
Gov2022 Govt,31/12/2019,1.1275345776
EUSWEA Curncy,31/12/2019,0.0000201955
EUCF603 Curncy,31/12/2019,6112.894225389
EUFR0G1A Curncy,31/12/2019,0.0000094676
G0177Z 10Y BLC2 Curncy,31/12/2019,0.0004432139
EUSN1515 Curncy,31/12/2019,0.260253294
EUSN104 Curncy,31/12/2019,0.5874456370
Gov2029 Govt,31/12/2019,1.2887029718
G0020Z 2Y BLC2 Curncy,31/12/2019,0.0000376895
EUCF102 Curncy,31/12/2019,3.0478176791
Corp2029_AA Govt,31/12/2019,1.0397881466
G0040Z 20Y BLC2 Curncy,31/12/2019,0.0005543426
EUCF7020 Curncy,31/12/2019,5601.774025439
EUSA7 Curncy,31/12/2019,0.0000003861
EUSWE11 Curncy,31/12/2019,0.0000008536
EUSN0A5 Curncy,31/12/2019,0.0006943644
Gov2041 Govt,31/12/2019,2.9584417
EUSN047 Curncy,31/12/2019,0.3537276746
EUSWE2F Curncy,31/12/2019,0.0000169382
EUCF104 Curncy,31/12/2019,1.8276336931
EUCV10 Curncy,31/12/2019,40196.2401180
EUSN209 Curncy,31/12/2019,0.1427328688
EUSN155 Curncy,31/12/2019,0.4468923370
EI650542 Corp,31/12/2019,1.1557325165
EUSA8 ISCF Index,31/12/2019,0.0000007447
EUFR011F Curncy,31/12/2019,0.000008678
EUSN039 Curncy,31/12/2019,0.3993608452
G0177Z 8Y BLC2 Curncy,31/12/2019,0.0004302412
EUSN106 Curncy,31/12/2019,0.6093364515
EUSN0A9 Curncy,31/12/2019,0.1180953675
EUSA19 Curncy,31/12/2019,0.000034541
G0040Z 10Y BLC2 Curncy,31/12/2019,0.0001974569
EUSN0710 Curncy,31/12/2019,0.6523793865
EUFR0F1 Curncy,31/12/2019,0.0000096140
EUCF356 Curncy,31/12/2019,8773.132225409
EUCF5015 Curncy,31/12/2019,6977.2609341
EUSN205 Curncy,31/12/2019,0.1977581979
EUSW10V3  Curncy,31/12/2019,0.0000016732
EUCF704 Curncy,31/12/2019,5592.796225511
EUCF2020 Curncy,31/12/2019,12316.5604223
EUR003M Index,31/12/2019,0.0000147383
Corp2021_AA Govt,31/12/2019,1.080685669
EUCF255 Curncy,31/12/2019,10799.3664437
EUSN028 Curncy,31/12/2019,0.2322758930
EUCF101 Curncy,31/12/2019,2.6784596322
EUSN201 Curncy,31/12/2019,0.2048468682
EUSN2515 Curncy,31/12/2019,0.0513929424
EUCF502 Curncy,31/12/2019,0.7450279577
G0040Z 3Y BLC2 Curncy,31/12/2019,0.0000044313
EUCF3520 Curncy,31/12/2019,8744.1201793
EUSA13 Curncy,31/12/2019,0.0000132796
Gov2045 Govt,31/12/2019,2.2970434684
EUSN046 Curncy,31/12/2019,0.2875104215
Corp2037_A Govt,31/12/2019,1.2854458439
Gov2031 Govt,31/12/2019,1.5315123669
EUCF1753 Curncy,31/12/2019,13051.92003827
EUSN303 Curncy,31/12/2019,0.0656641297
EUCF904 Curncy,31/12/2019,4738.257225133
EUCF257 Curncy,31/12/2019,10786.8996791
EUSN0C30 Curncy,31/12/2019,0.8881178524
EUSN048 Curncy,31/12/2019,0.4188678901
EUCF206 Curncy,31/12/2019,12346.54323434
EUSN024 Curncy,31/12/2019,0.0202351361
Corp2038_AA Govt,31/12/2019,1.4084942761
EUCF2512 Curncy,31/12/2019,10769.25063781
EUSN256 Curncy,31/12/2019,0.0697488819
EUCF351 Curncy,31/12/2019,9299.709225470
EUSN059 Curncy,31/12/2019,0.5574862832
EUSN1015 Curncy,31/12/2019,0.5367028146
G0020Z 5Y BLC2 Curncy,31/12/2019,0.0000151740
EUSN034 Curncy,31/12/2019,0.0787925476
Corp2027_AA Govt,31/12/2019,1.0782746418
EUCF8010 Curncy,31/12/2019,5136.5889329
EUSN036 Curncy,31/12/2019,0.1908379641
EUSN2010 Curncy,31/12/2019,0.1364564922
EUCF906 Curncy,31/12/2019,4763.070225141
EUSN0225 Curncy,31/12/2019,0.7911213499
EUCF708 Curncy,31/12/2019,5619.751225584
EUSN038 Curncy,31/12/2019,0.3298779669
G0061Z 9Y BLC2 Curncy,31/12/2019,0.0000189662
EUSN204 Curncy,31/12/2019,0.1975803287
EUSWE12 Curncy,31/12/2019,0.0000022704
EUFR0BH Curncy,31/12/2019,0.0000103254
EUCF4020 Curncy,31/12/2019,8040.7089276
EUSN051 Curncy,31/12/2019,0.0571688922
EUCV9 Curncy,31/12/2019,47149.7796515
Corp2030_A Govt,31/12/2019,1.1935198441
EUFR0I1C Curncy,31/12/2019,0.0000089267
EUCF706 Curncy,31/12/2019,5629.5009786
EUSN0F3 Curncy,31/12/2019,0.0005978329
EUCF604 Curncy,31/12/2019,6180.318225821
EUCF8012 Curncy,31/12/2019,5131.573225226
EUSN0130 Curncy,31/12/2019,0.819025345
EUCF6012 Curncy,31/12/2019,6204.7129636
G0014Z 8Y BLC2 Curncy,31/12/2019,0.0000003502
EUSN0330 Curncy,31/12/2019,0.6798003672
EUSN072 Curncy,31/12/2019,0.3064176910
G0016Z 5Y BLC2 Curncy,31/12/2019,0.0000219391
Gov2020 Govt,31/12/2019,1.0464779920
G0016Z 15Y BLC2 Curncy,31/12/2019,0.0000001566
EUCF409 Curncy,31/12/2019,8055.960025788
EUCF3515 Curncy,31/12/2019,8746.925625240
Corp2026_A Govt,31/12/2019,1.1011493234
EUCF2254 Curncy,31/12/2019,11382.7561564
EUSN1030 Curncy,31/12/2019,0.3096366414
EUSN0C4 Curncy,31/12/2019,0.0006477127
EUCF202 Curncy,31/12/2019,1.5183168772
EUCF252 Curncy,31/12/2019,12613.5361197
EUSW30V3  Curncy,31/12/2019,0.0000346718
EUSN0115 Curncy,31/12/2019,0.644809985
EUCF209 Curncy,31/12/2019,12332.1025679
EUCF807 Curncy,31/12/2019,5148.0625403
EUCF1720 Curncy,31/12/2019,13336.78522411
EUFR0AG Curncy,31/12/2019,0.0000102925
Corp2029_A Govt,31/12/2019,1.1201501318
EUSA8 Curncy,31/12/2019,0.0000007885
EUCF902 Curncy,31/12/2019,4877.6256192
EUCF506 Curncy,31/12/2019,7004.0161905
EUCF905 Curncy,31/12/2019,4770.6649476
EUSN0C7 Curncy,31/12/2019,0.0270274920
EUCF5012 Curncy,31/12/2019,6981.438025630
EUCF1758 Curncy,31/12/2019,13357.58063155
G0016Z 3Y BLC2 Curncy,31/12/2019,0.0000338270
EUCF802 Curncy,31/12/2019,5307.851025853
EUSA5 Curncy,31/12/2019,0.0000017594
EUSN053 Curncy,31/12/2019,0.189051885
EUCF109 Curncy,31/12/2019,18479.6836280
EUSN156 Curncy,31/12/2019,0.4137706888
EUSA5 ISCF Index,31/12/2019,0.0000012455
EUSA17 Curncy,31/12/2019,0.000027660
EUSN0F6 Curncy,31/12/2019,0.0089681812
EUCF308 Curncy,31/12/2019,9643.24738
EUSA10 ISCF Index,31/12/2019,0.0000046873
EUSN304 Curncy,31/12/2019,0.0656641440
EUSWEJ Curncy,31/12/2019,0.0000199285
EUSN075 Curncy,31/12/2019,0.479764568
EUCV7 Curncy,31/12/2019,61216.6564112
EUR001M Index,31/12/2019,0.0000192497
Gov2027 Govt,31/12/2019,1.3177892163
EUSW25V3  Curncy,31/12/2019,0.0000346525
EUCF5010 Curncy,31/12/2019,6986.452225688
Corp2026_AA Govt,31/12/2019,1.1333998395
EUSWE50 Curncy,31/12/2019,0.0000171784
EUSN0A6 Curncy,31/12/2019,0.0006943265
EUSN0A1 Curncy,31/12/2019,0.0006943960
EUSN0720 Curncy,31/12/2019,0.593131839
EUSN049 Curncy,31/12/2019,0.4885311557
EUCF7012 Curncy,31/12/2019,5607.763225122
G0020Z 6Y BLC2 Curncy,31/12/2019,0.0000105741
EUCF407 Curncy,31/12/2019,8064.04533
G0040Z 15Y BLC2 Curncy,31/12/2019,0.0003926545
Corp2024_A Govt,31/12/2019,1.088187207
EUSN0F30 Curncy,31/12/2019,0.8635985658
